year,state_alpha,state_name,county_name,Value,unit_desc,short_desc,Crop,HighYield,StateAvgYield,RelYield,PrevYearYield,YoYChange
2011,AL,ALABAMA,AUTAUGA,111.1,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,96.81162790697674,1.1475894208364361,147.2801300518561,-36.18013005185611
2013,AL,ALABAMA,AUTAUGA,99.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,128.102,0.7751635415528251,111.1,-11.799999999999997
2017,AL,ALABAMA,AUTAUGA,170.8,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,153.13658536585368,1.115344185009397,99.3,71.50000000000001
2018,AL,ALABAMA,AUTAUGA,165.6,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,147.1970588235294,1.1250224788698624,170.8,-5.200000000000017
2019,AL,ALABAMA,AUTAUGA,165.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,135.78857142857143,1.2173336699911628,165.6,-0.29999999999998295
2020,AL,ALABAMA,AUTAUGA,156.6,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,143.98333333333335,1.0876258826253038,165.3,-8.700000000000017
2010,AL,ALABAMA,BALDWIN,161.9,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,99.3780487804878,1.6291324088845258,147.2801300518561,14.6198699481439
2011,AL,ALABAMA,BALDWIN,65.9,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,96.81162790697674,0.6807033558336737,161.9,-96.0
2012,AL,ALABAMA,BALDWIN,123.3,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,105.47954545454546,1.1689470168710003,65.9,57.39999999999999
2013,AL,ALABAMA,BALDWIN,156.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,128.102,1.217779581895677,123.3,32.7
2014,AL,ALABAMA,BALDWIN,138.9,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,140.5595238095238,0.9881934445667826,156.0,-17.099999999999994
2015,AL,ALABAMA,BALDWIN,147.2,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,0,137.04848484848486,1.07407243620926,138.9,8.299999999999983
2016,AL,ALABAMA,BALDWIN,152.9,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,119.36341463414634,1.280962013935716,147.2,5.700000000000017
2017,AL,ALABAMA,BALDWIN,162.0,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Corn,1,153.13658536585368,1.057879145032332,152.9,9.099999999999994
