year,state_alpha,state_name,county_name,Value,unit_desc,short_desc,Crop,HighYield,StateAvgYield,RelYield,PrevYearYield,YoYChange
2010,AL,ALABAMA,AUTAUGA,16.9,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,24.608333333333334,0.6867592279038265,44.601858131648626,-27.701858131648628
2011,AL,ALABAMA,AUTAUGA,26.0,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,30.659999999999997,0.848010437051533,16.9,9.100000000000001
2013,AL,ALABAMA,AUTAUGA,41.2,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,41.60666666666667,0.9902259253324788,26.0,15.200000000000003
2010,AL,ALABAMA,BALDWIN,40.0,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,24.608333333333334,1.6254656281747375,44.601858131648626,-4.601858131648626
2011,AL,ALABAMA,BALDWIN,37.0,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,30.659999999999997,1.2067840834964123,40.0,-3.0
2012,AL,ALABAMA,BALDWIN,41.0,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,43.71764705882353,0.9378363832077502,37.0,4.0
2013,AL,ALABAMA,BALDWIN,41.9,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,41.60666666666667,1.0070501522191955,41.0,0.8999999999999986
2014,AL,ALABAMA,BALDWIN,43.8,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,38.595652173913045,1.1348428523149712,41.9,1.8999999999999986
2015,AL,ALABAMA,BALDWIN,43.4,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,37.66,1.1524163568773236,43.8,-0.3999999999999986
2016,AL,ALABAMA,BALDWIN,41.8,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,32.223076923076924,1.2972069706373834,43.4,-1.6000000000000014
2017,AL,ALABAMA,BALDWIN,42.0,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,43.26470588235294,0.9707681849082257,41.8,0.20000000000000284
2018,AL,ALABAMA,BALDWIN,45.4,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,39.44642857142857,1.1509280217292892,42.0,3.3999999999999986
2020,AL,ALABAMA,BALDWIN,37.2,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,41.351851851851855,0.8995969547693685,45.4,-8.199999999999996
2021,AL,ALABAMA,BALDWIN,44.3,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,44.888000000000005,0.9869007307075386,37.2,7.099999999999994
2022,AL,ALABAMA,BALDWIN,37.1,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,41.608000000000004,0.8916554508748317,44.3,-7.199999999999996
2023,AL,ALABAMA,BALDWIN,23.3,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,41.917857142857144,0.5558490244525859,37.1,-13.8
2024,AL,ALABAMA,BALDWIN,40.3,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,33.412,1.20615347779241,23.3,16.999999999999996
2015,AL,ALABAMA,BARBOUR,52.1,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,1,37.66,1.3834306956983538,44.601858131648626,7.498141868351375
2010,AL,ALABAMA,BLOUNT,24.6,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,24.608333333333334,0.9996613613274636,44.601858131648626,-20.001858131648625
2012,AL,ALABAMA,BLOUNT,41.4,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",Soybeans,0,43.71764705882353,0.9469860064585576,24.6,16.799999999999997
